Dates,Search
1/21/18,4
1/28/18,3
2/4/18,3
2/11/18,3
2/18/18,3
2/25/18,3
3/4/18,3
3/11/18,4
3/18/18,6
3/25/18,6
4/1/18,5
4/8/18,8
4/15/18,5
4/22/18,3
4/29/18,5
5/6/18,6
5/13/18,9
5/20/18,26
5/27/18,12
6/3/18,8
6/10/18,8
6/17/18,8
6/24/18,12
7/1/18,8
7/8/18,20
7/15/18,10
7/22/18,11
7/29/18,18
8/5/18,71
8/12/18,100
8/19/18,24
8/26/18,37
9/2/18,28
9/9/18,28
9/16/18,24
9/23/18,26
9/30/18,20
10/7/18,21
10/14/18,28
10/21/18,16
10/28/18,15
11/4/18,15
11/11/18,11
11/18/18,9
11/25/18,9
12/2/18,10
12/9/18,8
12/16/18,6
12/23/18,6
12/30/18,8
1/6/19,9
1/13/19,9
1/20/19,7
1/27/19,10
2/3/19,8
2/10/19,8
2/17/19,8
2/24/19,7
3/3/19,12
3/10/19,10
3/17/19,18
3/24/19,34
3/31/19,24
4/7/19,23
4/14/19,22
4/21/19,21
4/28/19,17
5/5/19,34
5/12/19,20
5/19/19,15
5/26/19,15
6/2/19,13
6/9/19,15
6/16/19,14
6/23/19,15
6/30/19,18
7/7/19,17
7/14/19,14
7/21/19,15
7/28/19,15
8/4/19,15
8/11/19,12
8/18/19,16
8/25/19,18
9/1/19,14
9/8/19,14
9/15/19,11
9/22/19,10
9/29/19,9
10/6/19,21
10/13/19,19
10/20/19,12
10/27/19,10
11/3/19,9
11/10/19,9
11/17/19,7
11/24/19,7
12/1/19,6
12/8/19,8
12/15/19,13
12/22/19,10
12/29/19,8
1/5/20,10
1/12/20,7
1/19/20,6
1/26/20,6
2/2/20,6
2/9/20,7
2/16/20,7
2/23/20,10
3/1/20,9
3/8/20,11
3/15/20,12
3/22/20,8
3/29/20,9
4/5/20,7
4/12/20,9
4/19/20,8
4/26/20,7
5/3/20,12
5/10/20,9
5/17/20,8
5/24/20,6
5/31/20,7
6/7/20,7
6/14/20,6
6/21/20,5
6/28/20,4
7/5/20,5
7/12/20,4
7/19/20,4
7/26/20,8
8/2/20,16
8/9/20,13
8/16/20,12
8/23/20,9
8/30/20,8
9/6/20,8
9/13/20,7
9/20/20,9
9/27/20,10
10/4/20,10
10/11/20,8
10/18/20,8
10/25/20,14
11/1/20,14
11/8/20,25
11/15/20,13
11/22/20,11
11/29/20,7
12/6/20,6
12/13/20,7
12/20/20,6
12/27/20,7
1/3/21,7
1/10/21,6
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
