Date,SearchVolume
1/21/18,5
1/28/18,10
2/4/18,10
2/11/18,5
2/18/18,4
2/25/18,8
3/4/18,13
3/11/18,4
3/18/18,5
3/25/18,7
4/1/18,16
4/8/18,8
4/15/18,6
4/22/18,5
4/29/18,20
5/6/18,8
5/13/18,9
5/20/18,13
5/27/18,15
6/3/18,39
6/10/18,11
6/17/18,11
6/24/18,14
7/1/18,59
7/8/18,11
7/15/18,9
7/22/18,11
7/29/18,26
8/5/18,17
8/12/18,10
8/19/18,4
8/26/18,15
9/2/18,39
9/9/18,14
9/16/18,18
9/23/18,15
9/30/18,74
10/7/18,51
10/14/18,37
10/21/18,28
10/28/18,50
11/4/18,70
11/11/18,20
11/18/18,18
11/25/18,26
12/2/18,64
12/9/18,21
12/16/18,28
12/23/18,33
12/30/18,100
1/6/19,17
1/13/19,16
1/20/19,14
1/27/19,20
2/3/19,27
2/10/19,7
2/17/19,7
2/24/19,13
3/3/19,24
3/10/19,9
3/17/19,9
3/24/19,9
3/31/19,20
4/7/19,9
4/14/19,9
4/21/19,7
4/28/19,37
5/5/19,11
5/12/19,11
5/19/19,10
5/26/19,12
6/2/19,28
6/9/19,13
6/16/19,17
6/23/19,11
6/30/19,51
7/7/19,8
7/14/19,7
7/21/19,10
7/28/19,11
8/4/19,16
8/11/19,6
8/18/19,6
8/25/19,11
9/1/19,25
9/8/19,8
9/15/19,8
9/22/19,5
9/29/19,34
10/6/19,10
10/13/19,8
10/20/19,8
10/27/19,11
11/3/19,32
11/10/19,11
11/17/19,7
11/24/19,11
12/1/19,36
12/8/19,12
12/15/19,10
12/22/19,18
12/29/19,52
1/5/20,12
1/12/20,10
1/19/20,8
1/26/20,11
2/2/20,18
2/9/20,6
2/16/20,6
2/23/20,7
3/1/20,21
3/8/20,6
3/15/20,4
3/22/20,6
3/29/20,16
4/5/20,4
4/12/20,6
4/19/20,6
4/26/20,9
5/3/20,22
5/10/20,8
5/17/20,6
5/24/20,9
5/31/20,28
6/7/20,11
6/14/20,11
6/21/20,12
6/28/20,46
7/5/20,10
7/12/20,5
7/19/20,5
7/26/20,7
8/2/20,17
8/9/20,7
8/16/20,6
8/23/20,6
8/30/20,18
9/6/20,8
9/13/20,6
9/20/20,8
9/27/20,13
10/4/20,19
10/11/20,7
10/18/20,7
10/25/20,12
11/1/20,32
11/8/20,10
11/15/20,12
11/22/20,11
11/29/20,50
12/6/20,16
12/13/20,18
12/20/20,19
12/27/20,36
1/3/21,51
1/10/21,11
