Date,SearchVolume
1/21/18,0
1/28/18,22
2/4/18,21
2/11/18,10
2/18/18,11
2/25/18,26
3/4/18,27
3/11/18,5
3/18/18,38
3/25/18,38
4/1/18,28
4/8/18,34
4/15/18,17
4/22/18,24
4/29/18,11
5/6/18,39
5/13/18,47
5/20/18,48
5/27/18,33
6/3/18,40
6/10/18,31
6/17/18,63
6/24/18,28
7/1/18,47
7/8/18,34
7/15/18,18
7/22/18,6
7/29/18,29
8/5/18,22
8/12/18,16
8/19/18,0
8/26/18,23
9/2/18,11
9/9/18,11
9/16/18,30
9/23/18,6
9/30/18,12
10/7/18,24
10/14/18,35
10/21/18,23
10/28/18,6
11/4/18,62
11/11/18,29
11/18/18,39
11/25/18,33
12/2/18,28
12/9/18,22
12/16/18,50
12/23/18,51
12/30/18,23
1/6/19,33
1/13/19,56
1/20/19,28
1/27/19,28
2/3/19,29
2/10/19,44
2/17/19,73
2/24/19,22
3/3/19,17
3/10/19,75
3/17/19,41
3/24/19,46
3/31/19,38
4/7/19,68
4/14/19,85
4/21/19,30
4/28/19,42
5/5/19,34
5/12/19,40
5/19/19,45
5/26/19,40
6/2/19,28
6/9/19,40
6/16/19,53
6/23/19,82
6/30/19,37
7/7/19,48
7/14/19,54
7/21/19,54
7/28/19,30
8/4/19,31
8/11/19,20
8/18/19,12
8/25/19,29
9/1/19,35
9/8/19,35
9/15/19,62
9/22/19,33
9/29/19,28
10/6/19,38
10/13/19,60
10/20/19,16
10/27/19,28
11/3/19,27
11/10/19,38
11/17/19,55
11/24/19,37
12/1/19,42
12/8/19,42
12/15/19,42
12/22/19,45
12/29/19,21
1/5/20,100
1/12/20,40
1/19/20,21
1/26/20,30
2/2/20,14
2/9/20,24
2/16/20,64
2/23/20,23
3/1/20,34
3/8/20,44
3/15/20,5
3/22/20,31
3/29/20,36
4/5/20,9
4/12/20,64
4/19/20,37
4/26/20,27
5/3/20,93
5/10/20,79
5/17/20,38
5/24/20,39
5/31/20,32
6/7/20,90
6/14/20,100
6/21/20,80
6/28/20,42
7/5/20,64
7/12/20,33
7/19/20,33
7/26/20,48
8/2/20,49
8/9/20,21
8/16/20,47
8/23/20,21
8/30/20,35
9/6/20,35
9/13/20,25
9/20/20,24
9/27/20,10
10/4/20,29
10/11/20,15
10/18/20,40
10/25/20,10
11/1/20,14
11/8/20,14
11/15/20,30
11/22/20,37
11/29/20,70
12/6/20,46
12/13/20,33
12/20/20,37
12/27/20,33
1/3/21,28
1/10/21,50
